bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Shipwright,I Just Write,,33290,https://www.royalroad.com/profile/130167,https://www.royalroad.com/private/send/130167,https://www.royalroad.com/fiction/33290/shipwright,1,6,35,1,JUNE122020,15 Jun 2020 13:52:32 GMT,
The Sea Witch,Jiya,,32585,https://www.royalroad.com/profile/166342,https://www.royalroad.com/private/send/166342,https://www.royalroad.com/fiction/32585/the-sea-witch,1,6,104,2,MAY202020,15 Jun 2020 13:52:32 GMT,
There once was a girl,Madison Marie,,33010,https://www.royalroad.com/profile/166009,https://www.royalroad.com/private/send/166009,https://www.royalroad.com/fiction/33010/there-once-was-a-girl,1,6,205,7,JUNE042020,15 Jun 2020 13:52:32 GMT,
Memories From the Dark Side of Infinity,B B,,33298,https://www.royalroad.com/profile/135835,https://www.royalroad.com/private/send/135835,https://www.royalroad.com/fiction/33298/memories-from-the-dark-side-of-infinity,1,13,56,3,JUNE142020,15 Jun 2020 13:52:32 GMT,
Curse: Birth of The Cursed Magician,HastaLavista,,32648,https://www.royalroad.com/profile/166679,https://www.royalroad.com/private/send/166679,https://www.royalroad.com/fiction/32648/curse-birth-of-the-cursed-magician,1,6,71,2,JUNE022020,15 Jun 2020 13:52:32 GMT,
Dragon's cry,N.A.L,,33272,https://www.royalroad.com/profile/170289,https://www.royalroad.com/private/send/170289,https://www.royalroad.com/fiction/33272/dragons-cry,2,6,69,3,JUNE122020,15 Jun 2020 13:52:32 GMT,
Jack's Cultivation Tale,Shadow Dog,,33079,https://www.royalroad.com/profile/169085,https://www.royalroad.com/private/send/169085,https://www.royalroad.com/fiction/33079/jacks-cultivation-tale,1,5,38,1,JUNE062020,15 Jun 2020 13:52:32 GMT,
Horsemen of Apocalypse,Reidth Fox,,31589,https://www.royalroad.com/profile/125874,https://www.royalroad.com/private/send/125874,https://www.royalroad.com/fiction/31589/horsemen-of-apocalypse,1,5,77,2,MAY112020,15 Jun 2020 13:52:32 GMT,
The boy and the barroness,Koashi,,32634,https://www.royalroad.com/profile/73829,https://www.royalroad.com/private/send/73829,https://www.royalroad.com/fiction/32634/the-boy-and-the-barroness,1,5,19,1,MAY202020,15 Jun 2020 13:52:32 GMT,
Bridging Souls,EmoryNik,,32385,https://www.royalroad.com/profile/162586,https://www.royalroad.com/private/send/162586,https://www.royalroad.com/fiction/32385/bridging-souls,1,4,50,1,MAY102020,15 Jun 2020 13:52:32 GMT,
Granknights: Beyond Worlds [Arknights Fanfic],GaleSiege,,33243,https://www.royalroad.com/profile/170178,https://www.royalroad.com/private/send/170178,https://www.royalroad.com/fiction/33243/granknights-beyond-worlds-arknights-fanfic,1,4,16,1,JUNE112020,15 Jun 2020 13:52:32 GMT,
The 48th Hunger Games,JackReynolds05,,33082,https://www.royalroad.com/profile/168428,https://www.royalroad.com/private/send/168428,https://www.royalroad.com/fiction/33082/the-48th-hunger-games,1,4,11,1,JUNE062020,15 Jun 2020 13:52:32 GMT,
Hidden Jewels,CaffeinatedLady,,32817,https://www.royalroad.com/profile/164746,https://www.royalroad.com/private/send/164746,https://www.royalroad.com/fiction/32817/hidden-jewels,1,4,145,4,JUNE072020,15 Jun 2020 13:52:32 GMT,
A Sea of Secrets,BrittneyStar,,33040,https://www.royalroad.com/profile/167158,https://www.royalroad.com/private/send/167158,https://www.royalroad.com/fiction/33040/a-sea-of-secrets,1,4,11,1,JUNE042020,15 Jun 2020 13:52:32 GMT,
new world,Unfeed,,32792,https://www.royalroad.com/profile/167751,https://www.royalroad.com/private/send/167751,https://www.royalroad.com/fiction/32792/new-world,1,4,42,2,JUNE122020,15 Jun 2020 13:52:32 GMT,
Failed Familiar,bassbalance,,32643,https://www.royalroad.com/profile/166735,https://www.royalroad.com/private/send/166735,https://www.royalroad.com/fiction/32643/failed-familiar,1,4,140,2,JUNE052020,15 Jun 2020 13:52:32 GMT,
Soulless,Lighthouse_Highway,,32349,https://www.royalroad.com/profile/164387,https://www.royalroad.com/private/send/164387,https://www.royalroad.com/fiction/32349/soulless,1,12,101,3,MAY112020,15 Jun 2020 13:52:32 GMT,
Constance Sin,Tyler H.,,32614,https://www.royalroad.com/profile/101041,https://www.royalroad.com/private/send/101041,https://www.royalroad.com/fiction/32614/constance-sin,1,12,44,2,MAY202020,15 Jun 2020 13:52:32 GMT,
The Endless Change Rebirth of the First,Nameless Formless,,32998,https://www.royalroad.com/profile/168778,https://www.royalroad.com/private/send/168778,https://www.royalroad.com/fiction/32998/the-endless-change-rebirth-of-the-first,1,11,50,3,JUNE042020,15 Jun 2020 13:52:32 GMT,
Aliens in a fantasy world (AvP fanfic),Piestes,,32901,https://www.royalroad.com/profile/166239,https://www.royalroad.com/private/send/166239,https://www.royalroad.com/fiction/32901/aliens-in-a-fantasy-world-avp-fanfic,1,11,440,6,MAY312020,15 Jun 2020 13:52:32 GMT,
Disappointing and confusing,MediocreMemer,,32161,https://www.royalroad.com/profile/163768,https://www.royalroad.com/private/send/163768,https://www.royalroad.com/fiction/32161/disappointing-and-confusing,1,11,92,4,MAY142020,15 Jun 2020 13:52:32 GMT,
Tropes & Triumph,GoldFlake,,32663,https://www.royalroad.com/profile/166849,https://www.royalroad.com/private/send/166849,https://www.royalroad.com/fiction/32663/tropes-triumph,1,10,29,1,MAY212020,15 Jun 2020 13:52:32 GMT,
Remembering You,petalpower,,32519,https://www.royalroad.com/profile/165814,https://www.royalroad.com/private/send/165814,https://www.royalroad.com/fiction/32519/remembering-you,1,10,76,3,MAY172020,15 Jun 2020 13:52:32 GMT,
